Date,Category,Amount,Month
2025-04-24,Meals & Drinks,15.25,2025-04
2025-04-21,Gifts,81.87,2025-04
2025-04-21,Meals & Drinks,11.58,2025-04
2025-04-21,Meals & Drinks,6.56,2025-04
2025-04-21,Cosmetics,12.94,2025-04
2025-04-21,Food & Snacks,8.04,2025-04
2025-04-17,Meals & Drinks,2.48,2025-04
2025-04-16,Meals & Drinks,8.36,2025-04
2025-04-15,School,8.23,2025-04
2025-04-15,Food & Snacks,3.89,2025-04
2025-04-14,Meals & Drinks,13.12,2025-04
2025-04-14,Food & Snacks,15.03,2025-04
2025-04-11,Miscellaneous,4.91,2025-04
2025-04-11,Meals & Drinks,3.67,2025-04
2025-04-10,Miscellaneous,3.13,2025-04
2025-04-10,Meals & Drinks,7.54,2025-04
2025-04-09,Meals & Drinks,4.57,2025-04
2025-04-08,Gifts,81.19,2025-04
2025-04-07,Food & Snacks,5.83,2025-04
2025-04-07,Meals & Drinks,17.54,2025-04
2025-04-07,Gifts,17.64,2025-04
2025-04-07,Clothing,39.05,2025-04
2025-04-07,Dorm necessities,20.14,2025-04
2025-04-07,Discretionary,50.76,2025-04
2025-04-04,Meals & Drinks,4.43,2025-04
2025-04-04,Dorm necessities,9.04,2025-04
2025-04-03,Clothing,7.4,2025-04
2025-04-03,Gifts,58.14,2025-04
2025-04-03,Food & Snacks,10.6,2025-04
2025-04-02,Meals & Drinks,4.16,2025-04
2025-04-02,Meals & Drinks,3.04,2025-04
2025-03-31,Activities,36.83,2025-03
2025-03-31,Food & Snacks,37.62,2025-03
2025-03-31,Transportation,2.85,2025-03
2025-03-28,Meals & Drinks,0.42,2025-03
2025-03-27,Meals & Drinks,3.19,2025-03
2025-03-27,Discretionary,3.71,2025-03
2025-03-27,Food & Snacks,9.72,2025-03
2025-03-25,Meals & Drinks,5.03,2025-03
2025-03-24,Meals & Drinks,22.19,2025-03
2025-03-24,Meals & Drinks,8.18,2025-03
2025-03-24,Food & Snacks,14.22,2025-03
2025-03-24,Food & Snacks,9.37,2025-03
2025-03-21,Meals & Drinks,5.1,2025-03
2025-03-20,Meals & Drinks,9.39,2025-03
2025-03-20,Cosmetics,14.95,2025-03
2025-03-20,Food & Snacks,11.83,2025-03
2025-03-19,Transportation,173.66,2025-03
2025-03-17,Meals & Drinks,10.71,2025-03
2025-03-17,Cosmetics,24.01,2025-03
2025-03-17,Entertainment,32.85,2025-03
2025-03-17,Activities,19.73,2025-03
2025-03-17,Activities,7.82,2025-03
2025-03-17,Entertainment,17.16,2025-03
2025-03-13,Meals & Drinks,4.71,2025-03
2025-03-12,Meals & Drinks,6.65,2025-03
2025-03-12,Activities,85.92,2025-03
2025-03-11,Food & Snacks,3.79,2025-03
2025-03-11,Meals & Drinks,6.1,2025-03
2025-03-11,Food & Snacks,2.1,2025-03
2025-03-11,Food & Snacks,3.62,2025-03
2025-03-11,Cosmetics,16.16,2025-03
2025-03-11,Miscellaneous,18.3,2025-03
2025-03-11,Cosmetics,18.34,2025-03
2025-03-10,Meals & Drinks,11.9,2025-03
2025-03-07,Transportation,16.31,2025-03
2025-03-07,Meals & Drinks,7.56,2025-03
2025-03-06,Clothing,41.82,2025-03
2025-03-04,Meals & Drinks,6.61,2025-03
2025-03-04,Meals & Drinks,10.9,2025-03
2025-03-03,Meals & Drinks,4.05,2025-03
2025-03-03,Meals & Drinks,5.51,2025-03
2025-03-03,Meals & Drinks,10.29,2025-03
2025-03-03,Meals & Drinks,6.56,2025-03
2025-02-28,Meals & Drinks,7.7,2025-02
2025-02-28,Meals & Drinks,8.23,2025-02
2025-02-27,Clothing,50.42,2025-02
2025-02-27,Meals & Drinks,12.95,2025-02
2025-02-25,Meals & Drinks,8.87,2025-02
2025-02-24,Food & Snacks,1.1,2025-02
2025-02-24,Meals & Drinks,6.29,2025-02
2025-02-24,Meals & Drinks,7.06,2025-02
2025-02-24,Meals & Drinks,15.26,2025-02
2025-02-24,Meals & Drinks,9.55,2025-02
2025-02-21,Dorm necessities,4.79,2025-02
